adapter,error,session_id,turn_index,latency_ms,measured,ok,output_text,peak_memory_mib,kv_cache_memory_mib,kv_incremental_mib,kv_cumulative_mib,profile,quality_loss,quality_score,request_id,resident_memory_mib,resident_kv_mib_before,resident_kv_mib_after,restore_ms,recompute_ms,evicted_kv_mib,budget_hit,ttft_ms,length_bucket,split,task,extra_backend,extra_bits,extra_builtin_request_fallback,extra_dry_run,extra_env,extra_error_type,extra_failure_stage,extra_family,extra_h2o_recent_size,extra_h2o_selected_size,extra_h2o_kept_tokens,extra_h2o_cache_budget,extra_h2o_prompt_tokens,extra_kivi_bits,extra_kivi_effective_mode,extra_kivi_group_size,extra_kivi_quantization_triggered,extra_kivi_residual_length,extra_metric_loss_em,extra_metric_loss_f1,extra_metric_loss_rouge_l,extra_model,extra_arrival_index,extra_history_turns,extra_prompt_text,extra_effective_prompt_chars,extra_primary_metric,extra_runtime_cuda_visible_devices,extra_runtime_device_strategy,extra_runtime_visible_device_count,extra_stage_startup_ms,extra_stage_model_load_ms,extra_stage_tokenize_ms,extra_stage_transfer_ms,extra_stage_generate_ms,extra_stage_decode_ms,extra_stage_prefill_ms,extra_stage_first_token_ms,extra_stage_total_ms,extra_original_request_id,extra_profile_note,extra_reference,extra_repeat_index,extra_request_source,extra_returncode,extra_note,extra_source,extra_strategy,extra_ttft_semantics,extra_unsupported,extra_worker_cuda_visible_devices,extra_worker_device_strategy,extra_worker_mode,extra_vllm_cache_hits,extra_vllm_cache_misses,extra_vllm_cached_blocks,extra_vllm_evictions,extra_vllm_policy_time_ms,extra_vllm_eviction_decision_time_ms
full,,qa-session-000__pressure_r1_c1,0,2344.5159569382668,True,True,![](https://d1ynq5sw1v5nyr.cloud,15100.05322265625,3.171875,3.171875,3.171875,full_gpu,0.0,1.0,qa-session-000-turn0__pressure_r1_c1,7765.63671875,0.0,3.171875,0.0,0.0,0.0,False,1743.9319714903831,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,0,[],"Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",195,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,4.220221191644669,0.15863776206970215,2339.6200761198997,0.0,1739.3778897821903,1743.9319714903831,2344.5159569382668,,full/exact qwen2 runtime,Team Atlas ships 18 crates on August 12 to warehouse-7.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-000__pressure_r1_c2,0,652.1821692585945,True,True,![](https://d1ynq5sw1v5nyr.cloud,15103.22509765625,3.171875,3.171875,3.171875,full_gpu,0.0,1.0,qa-session-000-turn0__pressure_r1_c2,7765.63671875,0.0,3.171875,0.0,0.0,0.0,False,59.173159301280975,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,1,[],"Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",195,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.431109219789505,0.12690573930740356,651.3218954205513,0.0,58.47174674272537,59.173159301280975,652.1821692585945,,full/exact qwen2 runtime,Team Atlas ships 18 crates on August 12 to warehouse-7.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-000__pressure_r1_c1,1,648.5403776168823,True,True, The! shipment!! date! is!!!!!!! August,15165.1064453125,5.25,2.078125,5.25,full_gpu,0.0,1.0,qa-session-000-turn1__pressure_r1_c1,7765.63671875,3.171875,5.25,0.0,0.0,0.0,False,68.93033906817436,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,2,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7.""]","Question: What date was locked for the shipment, and what cannot change?
Answer:",349,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.7133111357688904,0.09648501873016357,647.4776417016983,0.0,68.00216808915138,68.93033906817436,648.5403776168823,,full/exact qwen2 runtime,August 12; the destination warehouse-7 cannot change.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-000__pressure_r1_c2,1,668.7740869820118,True,True, The! shipment!! date! is!!!!!!! August,15170.3564453125,5.25,2.078125,5.25,full_gpu,0.0,1.0,qa-session-000-turn1__pressure_r1_c2,7765.63671875,3.171875,5.25,0.0,0.0,0.0,False,66.18215888738632,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,3,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7.""]","Question: What date was locked for the shipment, and what cannot change?
Answer:",349,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.45758485794067383,0.09152665734291077,667.9781526327133,0.0,65.53878635168076,66.18215888738632,668.7740869820118,,full/exact qwen2 runtime,August 12; the destination warehouse-7 cannot change.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-000__pressure_r1_c1,2,690.0720298290253,True,True," No, the! original!!!!! shipment!! !must!",15253.275390625,7.984375,2.734375,7.984375,full_gpu,0.0,1.0,qa-session-000-turn2__pressure_r1_c1,7765.63671875,5.25,7.984375,0.0,0.0,0.0,False,94.78222951292992,medium,eval,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,4,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7."", ""User: Question: What date was locked for the shipment, and what cannot change?\nAnswer:"", ""Assistant: August 12; the destination warehouse-7 cannot change.""]","Question: A coordinator asks whether the shipment can be split into two equal batches without changing the original date or destination. Answer yes/no and keep the constraints.
Answer:",605,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.9142011404037476,0.10028108954429626,688.8018548488617,0.0,93.6441645026207,94.78222951292992,690.0720298290253,,full/exact qwen2 runtime,Yes. Split 18 crates into two equal batches while keeping August 12 and destination warehouse-7 unchanged.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-000__pressure_r1_c2,2,677.0016327500343,True,True," No, the! original!!!!! shipment!! !must!",15261.259765625,7.984375,2.734375,7.984375,full_gpu,0.0,1.0,qa-session-000-turn2__pressure_r1_c2,7765.63671875,5.25,7.984375,0.0,0.0,0.0,False,89.22827988862991,medium,eval,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,5,"[""User: Context: Team Atlas can ship exactly 18 crates on August 12. The destination must remain warehouse-7. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Atlas ships 18 crates on August 12 to warehouse-7."", ""User: Question: What date was locked for the shipment, and what cannot change?\nAnswer:"", ""Assistant: August 12; the destination warehouse-7 cannot change.""]","Question: A coordinator asks whether the shipment can be split into two equal batches without changing the original date or destination. Answer yes/no and keep the constraints.
Answer:",605,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.6571635603904724,0.09371340274810791,676.0062277317047,0.0,88.37972581386566,89.22827988862991,677.0016327500343,,full/exact qwen2 runtime,Yes. Split 18 crates into two equal batches while keeping August 12 and destination warehouse-7 unchanged.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-001__pressure_r1_c1,0,652.4465456604958,True,True,![](https://d1ynq5sw1vnuu5.cloud,15136.88818359375,3.28125,3.28125,3.28125,full_gpu,0.0,1.0,qa-session-001-turn0__pressure_r1_c1,7765.63671875,0.0,3.28125,0.0,0.0,0.0,False,57.0889413356781,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,6,[],"Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",199,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.4544109106063843,0.09270012378692627,651.6110114753246,0.0,56.42130970954895,57.0889413356781,652.4465456604958,,full/exact qwen2 runtime,Team Borealis ships 19 crates on August 13 to checkpoint-3.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-001__pressure_r1_c2,0,649.4193747639656,True,True,![](https://d1ynq5sw1vnuu5.cloud,15140.16943359375,3.28125,3.28125,3.28125,full_gpu,0.0,1.0,qa-session-001-turn0__pressure_r1_c2,7765.63671875,0.0,3.28125,0.0,0.0,0.0,False,56.372012943029404,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,7,[],"Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",199,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.39736926555633545,0.09917095303535461,648.6779935657978,0.0,55.779289454221725,56.372012943029404,649.4193747639656,,full/exact qwen2 runtime,Team Borealis ships 19 crates on August 13 to checkpoint-3.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-001__pressure_r1_c1,1,686.702162027359,True,True, The! shipment!! date!!! of!!!!!!,15204.349609375,5.46875,2.1875,5.46875,full_gpu,0.0,1.0,qa-session-001-turn1__pressure_r1_c1,7765.63671875,3.28125,5.46875,0.0,0.0,0.0,False,65.59384241700172,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,8,"[""User: Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Borealis ships 19 crates on August 13 to checkpoint-3.""]","Question: What date was locked for the shipment, and what cannot change?
Answer:",357,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.49781426787376404,0.09553879499435425,685.8305111527443,0.0,64.87376987934113,65.59384241700172,686.702162027359,,full/exact qwen2 runtime,August 13; the destination checkpoint-3 cannot change.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-001__pressure_r1_c2,1,653.9902873337269,True,True, The! shipment!! date!!! of!!!!!!,15209.818359375,5.46875,2.1875,5.46875,full_gpu,0.0,1.0,qa-session-001-turn1__pressure_r1_c2,7765.63671875,3.28125,5.46875,0.0,0.0,0.0,False,66.4568729698658,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,9,"[""User: Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Borealis ships 19 crates on August 13 to checkpoint-3.""]","Question: What date was locked for the shipment, and what cannot change?
Answer:",357,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.5379356443881989,0.10585412383079529,653.0856564640999,0.0,65.70203974843025,66.4568729698658,653.9902873337269,,full/exact qwen2 runtime,August 13; the destination checkpoint-3 cannot change.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-001__pressure_r1_c1,2,674.2881201207638,True,True," No, the! shipment! cannot! be!!! split! into!",15292.93603515625,8.203125,2.734375,8.203125,full_gpu,0.0,1.0,qa-session-001-turn2__pressure_r1_c1,7765.63671875,5.46875,8.203125,0.0,0.0,0.0,False,92.5917811691761,medium,eval,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,10,"[""User: Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Borealis ships 19 crates on August 13 to checkpoint-3."", ""User: Question: What date was locked for the shipment, and what cannot change?\nAnswer:"", ""Assistant: August 13; the destination checkpoint-3 cannot change.""]","Question: A coordinator asks whether the shipment can be split into two equal batches without changing the original date or destination. Answer yes/no and keep the constraints.
Answer:",614,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.6994381546974182,0.11278316378593445,673.2272431254387,0.0,91.67635813355446,92.5917811691761,674.2881201207638,,full/exact qwen2 runtime,Yes. Split 19 crates into two equal batches while keeping August 13 and destination checkpoint-3 unchanged.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-001__pressure_r1_c2,2,676.0827265679836,True,True," No, the! shipment! cannot! be!!! split! into!",15301.13916015625,8.203125,2.734375,8.203125,full_gpu,0.0,1.0,qa-session-001-turn2__pressure_r1_c2,7765.63671875,5.46875,8.203125,0.0,0.0,0.0,False,90.77208861708641,medium,eval,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,11,"[""User: Context: Team Borealis can ship exactly 19 crates on August 13. The destination must remain checkpoint-3. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Borealis ships 19 crates on August 13 to checkpoint-3."", ""User: Question: What date was locked for the shipment, and what cannot change?\nAnswer:"", ""Assistant: August 13; the destination checkpoint-3 cannot change.""]","Question: A coordinator asks whether the shipment can be split into two equal batches without changing the original date or destination. Answer yes/no and keep the constraints.
Answer:",614,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.6705708801746368,0.13094022870063782,675.0323139131069,0.0,89.86348286271095,90.77208861708641,676.0827265679836,,full/exact qwen2 runtime,Yes. Split 19 crates into two equal batches while keeping August 13 and destination checkpoint-3 unchanged.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-002__pressure_r1_c1,0,650.3673940896988,True,True,![[Pasted image 2023062711,15166.77197265625,3.171875,3.171875,3.171875,full_gpu,0.0,1.0,qa-session-002-turn0__pressure_r1_c1,7765.63671875,0.0,3.171875,0.0,0.0,0.0,False,56.19007349014282,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,12,[],"Context: Team Cinder can ship exactly 20 crates on August 14. The destination must remain relay-5. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",192,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.4226416349411011,0.08852407336235046,649.5909132063389,0.0,55.572863668203354,56.19007349014282,650.3673940896988,,full/exact qwen2 runtime,Team Cinder ships 20 crates on August 14 to relay-5.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-002__pressure_r1_c2,0,642.4723193049431,True,True,![[Pasted image 2023062711,15169.94384765625,3.171875,3.171875,3.171875,full_gpu,0.0,1.0,qa-session-002-turn0__pressure_r1_c2,7765.63671875,0.0,3.171875,0.0,0.0,0.0,False,56.41387403011322,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,13,[],"Context: Team Cinder can ship exactly 20 crates on August 14. The destination must remain relay-5. Keep those constraints for later.
Question: Repeat the shipping plan in one sentence.
Answer:",192,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.3740563988685608,0.08793547749519348,641.7539343237877,0.0,55.8599978685379,56.41387403011322,642.4723193049431,,full/exact qwen2 runtime,Team Cinder ships 20 crates on August 14 to relay-5.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-002__pressure_r1_c1,1,675.5784749984741,True,True, The! shipment!! was!!!!!!!!!!,15231.8251953125,5.25,2.078125,5.25,full_gpu,0.0,1.0,qa-session-002-turn1__pressure_r1_c1,7765.63671875,3.171875,5.25,0.0,0.0,0.0,False,65.05033746361732,medium,eval,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,14,"[""User: Context: Team Cinder can ship exactly 20 crates on August 14. The destination must remain relay-5. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Cinder ships 20 crates on August 14 to relay-5.""]","Question: What date was locked for the shipment, and what cannot change?
Answer:",343,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.5239658057689667,0.10008737444877625,674.7010834515095,0.0,64.32200968265533,65.05033746361732,675.5784749984741,,full/exact qwen2 runtime,August 14; the destination relay-5 cannot change.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-002__pressure_r1_c2,1,661.1750051379204,True,True, The! shipment!! was!!!!!!!!!!,15237.0751953125,5.25,2.078125,5.25,full_gpu,0.0,1.0,qa-session-002-turn1__pressure_r1_c2,7765.63671875,3.171875,5.25,0.0,0.0,0.0,False,65.76656550168991,medium,eval,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,15,"[""User: Context: Team Cinder can ship exactly 20 crates on August 14. The destination must remain relay-5. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Cinder ships 20 crates on August 14 to relay-5.""]","Question: What date was locked for the shipment, and what cannot change?
Answer:",343,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.5123987793922424,0.09920820593833923,660.3171043097973,0.0,65.05436822772026,65.76656550168991,661.1750051379204,,full/exact qwen2 runtime,August 14; the destination relay-5 cannot change.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-002__pressure_r1_c1,2,694.3232156336308,True,True," No,! The!!! shipment!! must! be!!!",15319.994140625,7.984375,2.734375,7.984375,full_gpu,0.0,1.0,qa-session-002-turn2__pressure_r1_c1,7765.63671875,5.25,7.984375,0.0,0.0,0.0,False,91.87429398298264,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,16,"[""User: Context: Team Cinder can ship exactly 20 crates on August 14. The destination must remain relay-5. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Cinder ships 20 crates on August 14 to relay-5."", ""User: Question: What date was locked for the shipment, and what cannot change?\nAnswer:"", ""Assistant: August 14; the destination relay-5 cannot change.""]","Question: A coordinator asks whether the shipment can be split into two equal batches without changing the original date or destination. Answer yes/no and keep the constraints.
Answer:",595,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.674854964017868,0.12790784239768982,693.2282969355583,0.0,90.95029905438423,91.87429398298264,694.3232156336308,,full/exact qwen2 runtime,Yes. Split 20 crates into two equal batches while keeping August 14 and destination relay-5 unchanged.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
full,,qa-session-002__pressure_r1_c2,2,689.3242783844471,True,True," No,! The!!! shipment!! must! be!!!",15327.978515625,7.984375,2.734375,7.984375,full_gpu,0.0,1.0,qa-session-002-turn2__pressure_r1_c2,7765.63671875,5.25,7.984375,0.0,0.0,0.0,False,91.51650220155716,medium,calibration,qa,qwen2_exact_runtime,,false,,tailguardkv-base,,,full,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,17,"[""User: Context: Team Cinder can ship exactly 20 crates on August 14. The destination must remain relay-5. Keep those constraints for later.\nQuestion: Repeat the shipping plan in one sentence.\nAnswer:"", ""Assistant: Team Cinder ships 20 crates on August 14 to relay-5."", ""User: Question: What date was locked for the shipment, and what cannot change?\nAnswer:"", ""Assistant: August 14; the destination relay-5 cannot change.""]","Question: A coordinator asks whether the shipment can be split into two equal batches without changing the original date or destination. Answer yes/no and keep the constraints.
Answer:",595,f1,"0,1",balanced_two_gpu,2,2085.710059851408,18014.20247927308,0.7132217288017273,0.1077502965927124,688.2185935974121,0.0,90.56774154305458,91.51650220155716,689.3242783844471,,full/exact qwen2 runtime,Yes. Split 20 crates into two equal batches while keeping August 14 and destination relay-5 unchanged.,,data/fixtures/pilot_session_trace_requests.jsonl,,,,,first_token,,"0,1",balanced_two_gpu,persistent,,,,,,
