adapter,error,extra_backend,extra_bits,extra_builtin_request_fallback,extra_env,extra_family,extra_h2o_cache_budget,extra_h2o_heavy_ratio,extra_h2o_heavy_size,extra_h2o_kept_tokens,extra_h2o_mask_events,extra_h2o_prompt_tokens,extra_h2o_prune_events,extra_h2o_recent_ratio,extra_h2o_recent_size,extra_kivi_effective_mode,extra_kivi_group_size,extra_kivi_kernel_calls,extra_kivi_quantization_triggered,extra_kivi_quantize_calls,extra_kivi_quantized_layers,extra_kivi_quantized_tokens,extra_kivi_residual_length,extra_max_new_tokens,extra_metric_em,extra_metric_f1,extra_metric_rouge_l,extra_model,extra_primary_metric,extra_profile_note,extra_prompt_tokens,extra_reference,extra_request_source,extra_stage_decode_ms,extra_stage_first_token_ms,extra_stage_generate_ms,extra_stage_model_load_ms,extra_stage_prefill_ms,extra_stage_startup_ms,extra_stage_tokenize_ms,extra_stage_total_ms,extra_stage_transfer_ms,extra_ttft_semantics,extra_worker_mode,kv_cache_memory_mib,latency_ms,length_bucket,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,request_id,resident_memory_mib,split,task,ttft_ms
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact transformers smoke,,Ground truth is not established in the paper,zai-org/LongBench,0.0,2933.475036174059,3447.8134214878082,17519.460640847683,2914.1173288226128,51.123615354299545,18.728438764810562,3467.5168097019196,0.2863742411136627,first_token,batch,66.609375,3467.5168097019196,long,True,True, The ground truth for fake news in the study is established through a dataset that was,5035.65283203125,full_gpu,0.0,1.0,longbench_qasper_000000,8678.6875,calibration,qa_long_context,2933.475036174059
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,Former Premier League footballer Sam Sodje has appeared in court alongside three brothers accused of charity fraud.,EdinburghNLP/xsum,0.0,90.67519754171371,634.74540412426,17519.460640847683,88.72977644205093,51.123615354299545,1.7225705087184906,637.110773473978,0.09704753756523132,first_token,batch,8.4765625,637.110773473978,medium,True,True," Four brothers, including a former footballer, have denied fraud charges in relation to",4369.31396484375,full_gpu,0.0,1.0,xsum_000000,8678.6875,calibration,summary,90.67519754171371
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,Two teenagers have been charged in connection with an incident in west Belfast in which a car collided with two police vehicles.,EdinburghNLP/xsum,0.0,64.61900845170021,597.3086170852184,17519.460640847683,63.48679959774017,51.123615354299545,0.9307712316513062,598.850604146719,0.09776651859283447,first_token,batch,5.359375,598.850604146719,short,True,True, Two teenagers have been charged in connection with a crash involving a stolen car which left,4333.90966796875,full_gpu,0.0,1.0,xsum_000004,8678.6875,calibration,summary,64.61900845170021
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,Labour leadership hopefuls Liz Kendall and Yvette Cooper have said their supporters should back anyone other than Jeremy Corbyn in the contest.,EdinburghNLP/xsum,0.0,475.91912373900414,1005.2371993660927,17519.460640847683,469.2366011440754,51.123615354299545,6.3752420246601105,1012.2690945863724,0.15696510672569275,first_token,batch,55.234375,1012.2690945863724,long,True,True, Labour leadership contenders have urged supporters to vote tactically in the party's contest to,4900.37451171875,full_gpu,0.0,1.0,xsum_000009,8678.6875,calibration,summary,475.91912373900414
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,"David Cameron is facing Labour calls to apologise for calling refugees at a camp in Calais ""a bunch of migrants"" at Prime Minister's Questions.",EdinburghNLP/xsum,0.0,756.4715556800365,1277.1279998123646,17519.460640847683,746.886357665062,51.123615354299545,9.232494980096817,1287.2986532747746,0.20385533571243286,first_token,batch,96.0859375,1287.2986532747746,xl,True,True, Prime Minister David Cameron has faced criticism after he said Labour leader Jeremy Corbyn had told,5371.27685546875,full_gpu,0.0,1.0,xsum_000071,8678.6875,calibration,summary,756.4715556800365
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,f1,full/exact transformers smoke,,"extension of the NetVLAD, adds Ghost clusters along with the NetVLAD clusters",zai-org/LongBench,0.0,519.7754986584187,1044.0025553107262,17519.460640847683,513.741347938776,51.123615354299545,5.720365792512894,1050.434235483408,0.15900656580924988,first_token,batch,70.21875,1050.434235483408,long,True,True, The GhostVLAD approach is a pooling strategy inspired by the work on face recognition,5075.72802734375,full_gpu,0.0,1.0,longbench_qasper_000001,8678.6875,calibration,qa_long_context,519.7754986584187
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,Middlesex batsman Adam Voges will be out until August after suffering a torn calf muscle in his right leg.,EdinburghNLP/xsum,0.0,114.2987608909607,643.8300423324108,17519.460640847683,112.49546334147453,51.123615354299545,1.5867538750171661,646.2364792823792,0.10745972394943237,first_token,batch,13.6171875,646.2364792823792,medium,True,True, Middlesex have ruled out Australia batsman Adam Voges for the rest of the,4429.48583984375,full_gpu,0.0,1.0,xsum_000001,8678.6875,calibration,summary,114.2987608909607
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,A pedestrian has been struck by a taxi in Dundee after it mounted the pavement.,EdinburghNLP/xsum,0.0,62.03601136803627,599.542535841465,17519.460640847683,61.121243983507156,51.123615354299545,0.6917938590049744,600.9876728057861,0.09473413228988647,first_token,batch,4.921875,600.9876728057861,short,True,True, A 21-year-old man has been seriously injured after being hit by a,4329.43505859375,full_gpu,0.0,1.0,xsum_000005,8678.6875,calibration,summary,62.03601136803627
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,"Head teachers say they are axing GCSE and A-level subjects, increasing class sizes and cutting support services as they struggle with school funding.",EdinburghNLP/xsum,0.0,333.27237144112587,873.5811859369278,17519.460640847683,329.5721895992756,51.123615354299545,3.3737123012542725,877.6018619537354,0.12751296162605286,first_token,batch,37.0234375,877.6018619537354,long,True,True," School leaders are warning that cuts to budgets are leading to a ""bare bones education",4693.54052734375,full_gpu,0.0,1.0,xsum_000010,8678.6875,calibration,summary,333.27237144112587
full,,transformers,,false,,full,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,rouge_l,full/exact transformers smoke,,Liverpool and Manchester United played out a goalless and uneventful stalemate on a disappointing night at Anfield.,EdinburghNLP/xsum,0.0,834.2878445982933,1376.4444515109062,17519.460640847683,826.1897675693035,51.123615354299545,7.763773202896118,1384.9691338837147,0.19896402955055237,first_token,batch,100.4609375,1384.9691338837147,xl,True,True, Liverpool were held to a goalless draw by Manchester United at Anfield in a,5419.32568359375,full_gpu,0.0,1.0,xsum_000087,8678.6875,calibration,summary,834.2878445982933
