action_profile,active_session_count,audit_rate,backend_budget_hit,backend_name,budget_hit,candidate_safe_count,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,global_budget_mib,global_resident_kv_mib,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,policy_budget_filtered,pred_loss,quality_loss,queue_delay_ms,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,safe,safety_reason,session_id,task,ttft_ms,turn_index
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,36.421875,,,916.5783487260342,long,True,True,,False,,16078.1142578125,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_qasper_00060,,,7760.765625,,,,,,qa,330.5620141327381,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,31.71875,,,874.1600811481476,long,True,True,,False,,16112.10791015625,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_musique_00113,,,7760.765625,,,,,,qa,278.80051359534264,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,37.84375,,,929.9262799322605,long,True,True,,False,,16423.8935546875,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_2wikimqa_00017,,,7760.765625,,,,,,qa,335.24174615740776,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,41.78125,,,948.5894665122032,long,True,True,,False,,16237.2783203125,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_hotpotqa_00066,,,7760.765625,,,,,,qa,355.56401684880257,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,45.0625,,,1011.333417147398,long,True,True,,False,,16629.10546875,False,full_lru,False,,0.0,,full precision exact profile,,,,,summary_samsum_00033,,,7760.765625,,,,,,summary,399.8059816658497,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,44.734375,,,992.2315999865532,long,True,True,,False,,16327.03515625,False,full_lru,False,,0.0,,full precision exact profile,,,,,summary_samsum_00113,,,7760.765625,,,,,,summary,398.8970033824444,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,33.90625,,,866.8585680425167,long,True,True,,False,,16105.3603515625,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_qasper_00015,,,7760.765625,,,,,,qa,296.56367376446724,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,34.8359375,,,885.8717009425163,long,True,True,,False,,16269.5732421875,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_multifieldqa_en_00009,,,7760.765625,,,,,,qa,295.24314776062965,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,44.84375,,,988.847091794014,long,True,True,,False,,16410.05029296875,False,full_lru,False,,0.0,,full precision exact profile,,,,,summary_samsum_00178,,,7760.765625,,,,,,summary,403.7657864391804,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,41.7265625,,,984.2395596206188,long,True,True,,False,,16413.07568359375,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_2wikimqa_00067,,,7760.765625,,,,,,qa,344.4199375808239,0
