action_profile,audit_rate,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,exact,fallback_reason,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,pred_loss,quality_loss,reason,request_id,resident_memory_mib,risk_upper,safe,task,ttft_ms
engine_full_lru,,,,,,,,,,True,,3762.5193186104298,short,True,True,,False,,827.6484375,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000100,827.6484375,,,qa_long_context,3762.5193186104298
engine_full_lru,,,,,,,,,,True,,1391.0350650548935,short,True,True,,False,,827.6484375,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000101,827.6484375,,,qa_long_context,1391.0350650548935
engine_full_lru,,,,,,,,,,True,,24.72791075706482,short,True,True,,False,,827.6484375,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000102,827.6484375,,,qa_long_context,24.72791075706482
engine_full_lru,,,,,,,,,,True,,289.2705127596855,short,True,True,,False,,827.6484375,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000103,827.6484375,,,qa_long_context,289.2705127596855
engine_full_lru,,,,,,,,,,True,,24.51266348361969,short,True,True,,False,,827.6484375,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000104,827.6484375,,,qa_long_context,24.51266348361969
engine_full_lru,,,,,,,,,,True,,23.890137672424316,short,True,True,,False,,827.6484375,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000105,827.6484375,,,qa_long_context,23.890137672424316
engine_full_lru,,,,,,,,,,True,,44.564712792634964,short,True,True,,False,,827.6484375,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000106,827.6484375,,,qa_long_context,44.564712792634964
engine_full_lru,,,,,,,,,,True,,38.0476713180542,short,True,True,,False,,827.6484375,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000107,827.6484375,,,qa_long_context,38.0476713180542
engine_full_lru,,,,,,,,,,True,,37.465713918209076,short,True,True,,False,,827.6484375,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000108,827.6484375,,,qa_long_context,37.465713918209076
engine_full_lru,,,,,,,,,,True,,24.19079840183258,short,True,True,,False,,827.6484375,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000109,827.6484375,,,qa_long_context,24.19079840183258
engine_full_lru,,,,,,,,,,True,,2561.7215745151043,short,True,True,,False,,827.703125,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000110,827.703125,,,qa_long_context,2561.7215745151043
engine_full_lru,,,,,,,,,,True,,1442.566204816103,short,True,True,,False,,827.703125,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000111,827.703125,,,qa_long_context,1442.566204816103
engine_full_lru,,,,,,,,,,True,,25.287918746471405,short,True,True,,False,,827.703125,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000112,827.703125,,,qa_long_context,25.287918746471405
engine_full_lru,,,,,,,,,,True,,1405.9986881911755,short,True,True,,False,,827.703125,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000113,827.703125,,,qa_long_context,1405.9986881911755
engine_full_lru,,,,,,,,,,True,,302.85413563251495,short,True,True,,False,,827.703125,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000114,827.703125,,,qa_long_context,302.85413563251495
engine_full_lru,,,,,,,,,,True,,25.893915444612503,short,True,True,,False,,827.703125,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000115,827.703125,,,qa_long_context,25.893915444612503
engine_full_lru,,,,,,,,,,True,,293.38616505265236,short,True,True,,False,,827.703125,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000116,827.703125,,,qa_long_context,293.38616505265236
engine_full_lru,,,,,,,,,,True,,25.127410888671875,short,True,True,,False,,827.703125,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000117,827.703125,,,qa_long_context,25.127410888671875
engine_full_lru,,,,,,,,,,True,,48.328086733818054,short,True,True,,False,,827.703125,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000118,827.703125,,,qa_long_context,48.328086733818054
engine_full_lru,,,,,,,,,,True,,294.589027762413,short,True,True,,False,,827.703125,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000119,827.703125,,,qa_long_context,294.589027762413
engine_full_lru,,,,,,,,,,True,,2608.663145452738,short,True,True,,False,,828.44921875,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000120,828.44921875,,,qa_long_context,2608.663145452738
engine_full_lru,,,,,,,,,,True,,1496.3889010250568,short,True,True,,False,,828.44921875,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000121,828.44921875,,,qa_long_context,1496.3889010250568
engine_full_lru,,,,,,,,,,True,,1306.5249808132648,short,True,True,,False,,828.44921875,False,full_lru,,0.0,full precision vLLM LRU,longbench_qasper_000122,828.44921875,,,qa_long_context,1306.5249808132648
