action_profile,audit_rate,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,exact,fallback_reason,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,pred_loss,quality_loss,reason,request_id,resident_memory_mib,risk_upper,safe,task,ttft_ms
full_gpu,,,,,,,,,,True,,1.84,short,False,True,,False,,0.044921875,False,full_lru,,,full precision exact profile,longbench_qasper_000100,0.044921875,,,qa_long_context,1.84
full_gpu,,,,,,,,,,True,,4.16,short,False,True,,False,,0.1015625,False,full_lru,,,full precision exact profile,longbench_qasper_000101,0.1015625,,,qa_long_context,4.16
full_gpu,,,,,,,,,,True,,3.12,short,False,True,,False,,0.076171875,False,full_lru,,,full precision exact profile,longbench_qasper_000102,0.076171875,,,qa_long_context,3.12
full_gpu,,,,,,,,,,True,,5.36,short,False,True,,False,,0.130859375,False,full_lru,,,full precision exact profile,longbench_qasper_000103,0.130859375,,,qa_long_context,5.36
full_gpu,,,,,,,,,,True,,3.36,short,False,True,,False,,0.08203125,False,full_lru,,,full precision exact profile,longbench_qasper_000104,0.08203125,,,qa_long_context,3.36
full_gpu,,,,,,,,,,True,,3.44,short,False,True,,False,,0.083984375,False,full_lru,,,full precision exact profile,longbench_qasper_000105,0.083984375,,,qa_long_context,3.44
full_gpu,,,,,,,,,,True,,4.96,short,False,True,,False,,0.12109375,False,full_lru,,,full precision exact profile,longbench_qasper_000106,0.12109375,,,qa_long_context,4.96
full_gpu,,,,,,,,,,True,,4.72,short,False,True,,False,,0.115234375,False,full_lru,,,full precision exact profile,longbench_qasper_000107,0.115234375,,,qa_long_context,4.72
full_gpu,,,,,,,,,,True,,3.68,short,False,True,,False,,0.08984375,False,full_lru,,,full precision exact profile,longbench_qasper_000108,0.08984375,,,qa_long_context,3.68
full_gpu,,,,,,,,,,True,,2.96,short,False,True,,False,,0.072265625,False,full_lru,,,full precision exact profile,longbench_qasper_000109,0.072265625,,,qa_long_context,2.96
