adapter,budget_hit,error,evicted_kv_mib,extra_backend,extra_bits,extra_builtin_request_fallback,extra_cache_rebuild_reason,extra_cache_reused,extra_env,extra_family,extra_gpu0_peak_memory_mib,extra_gpu1_peak_memory_mib,extra_h2o_cache_budget,extra_h2o_heavy_ratio,extra_h2o_heavy_size,extra_h2o_kept_tokens,extra_h2o_mask_events,extra_h2o_prompt_tokens,extra_h2o_prune_events,extra_h2o_recent_ratio,extra_h2o_recent_size,extra_kivi_effective_mode,extra_kivi_group_size,extra_kivi_kernel_calls,extra_kivi_quantization_triggered,extra_kivi_quantize_calls,extra_kivi_quantized_layers,extra_kivi_quantized_tokens,extra_kivi_residual_length,extra_max_new_tokens,extra_metric_em,extra_metric_f1,extra_metric_rouge_l,extra_model,extra_primary_metric,extra_profile_note,extra_prompt_tokens,extra_reference,extra_request_source,extra_stage_decode_ms,extra_stage_first_token_ms,extra_stage_generate_ms,extra_stage_model_load_ms,extra_stage_prefill_ms,extra_stage_startup_ms,extra_stage_tokenize_ms,extra_stage_total_ms,extra_stage_transfer_ms,extra_ttft_semantics,extra_worker_mode,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,output_text,peak_memory_mib,profile,quality_loss,quality_score,recompute_ms,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,session_id,split,task,ttft_ms,turn_index
full,False,,,transformers,,false,,,,full,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,em,full/exact transformers smoke,,,session_000,0.0,1850.2847589552402,2384.4290114939213,14673.157189041376,1845.8271734416485,46.291183680295944,4.0267109870910645,2389.354232698679,0.21303445100784302,first_token,batch,2.1328125,,,2389.354232698679,short,True,True, and I work 160 hours a month? To determine how much you,6608.5322265625,full_gpu,0.0,1.0,,session_000_turn_000,,,8201.5234375,,session_000,calibration,chat,1850.2847589552402,0
full,False,,,transformers,,false,,,,full,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,em,full/exact transformers smoke,,,session_000,0.0,100.50422325730324,649.9730199575424,14673.157189041376,98.59703481197357,46.291183680295944,1.6646012663841248,652.1768644452095,0.10370463132858276,first_token,batch,9.953125,,,652.1768644452095,medium,True,True," To make $8000 a month, you would need to charge $",6700.1728515625,full_gpu,0.0,1.0,,session_000_turn_001,,,8201.5234375,,session_000,calibration,chat,100.50422325730324,1
full,False,,,transformers,,false,,,,full,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,em,full/exact transformers smoke,,,session_000,0.0,286.89611330628395,808.6526058614254,14673.157189041376,283.6948186159134,46.291183680295944,2.958979457616806,812.1606335043907,0.10933727025985718,first_token,batch,34.671875,,,812.1606335043907,long,True,True," 
Assuming a 40 hour work week, that would be $6",6989.9775390625,full_gpu,0.0,1.0,,session_000_turn_003,,,8201.5234375,,session_000,calibration,chat,286.89611330628395,3
full,False,,,transformers,,false,,,,full,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,em,full/exact transformers smoke,,,session_001,0.0,58.87148901820183,581.3896879553795,14673.157189041376,58.01614001393318,46.291183680295944,0.6724707782268524,582.5545080006123,0.08915364742279053,first_token,batch,4.6484375,,,582.5545080006123,short,True,True, The post should be written in a conversational tone and include a list of the,6637.3271484375,full_gpu,0.0,1.0,,session_001_turn_000,,,8201.5234375,,session_001,calibration,chat,58.87148901820183,0
full,False,,,transformers,,false,,,,full,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,em,full/exact transformers smoke,,,session_000,0.0,166.63507744669914,675.755687057972,14673.157189041376,165.31503945589066,46.291183680295944,1.0895133018493652,677.3373931646347,0.0950545072555542,first_token,batch,21.1640625,,,677.3373931646347,medium,True,True," 
Assuming you are located in the United States, here are some types of",6830.8037109375,full_gpu,0.0,1.0,,session_000_turn_002,,,8201.5234375,,session_000,calibration,chat,166.63507744669914,2
full,False,,,transformers,,false,,,,full,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,em,full/exact transformers smoke,,,session_001,0.0,309.23596769571304,826.8582187592983,14673.157189041376,305.557444691658,46.291183680295944,3.4647397696971893,830.8822959661484,0.11321529746055603,first_token,batch,39.59375,,,830.8822959661484,long,True,True, The blog post should be written in a conversational tone and should include a call,7047.4306640625,full_gpu,0.0,1.0,,session_001_turn_001,,,8201.5234375,,session_001,calibration,chat,309.23596769571304,1
full,False,,,transformers,,false,,,,full,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,em,full/exact transformers smoke,,,session_002,0.0,33.71579572558403,545.3528575599194,14673.157189041376,33.37102383375168,46.291183680295944,0.1794472336769104,546.0323840379715,0.08104369044303894,first_token,batch,0.875,,,546.0323840379715,short,True,True," the following story.

The man was more interested in the painting than the sculpture,",6594.7080078125,full_gpu,0.0,1.0,,session_002_turn_000,,,8201.5234375,,session_002,calibration,chat,33.71579572558403,0
full,False,,,transformers,,false,,,,full,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,em,full/exact transformers smoke,,,session_003,0.0,167.97834262251854,684.0579994022846,14673.157189041376,166.12521931529045,46.291183680295944,1.6723014414310455,686.2415075302124,0.08919462561607361,first_token,batch,21.2734375,,,686.2415075302124,medium,True,True,"?
Assistant: Defining which combination of independent variables to use for feature engineering involves",6832.0849609375,full_gpu,0.0,1.0,,session_003_turn_001,,,8201.5234375,,session_003,calibration,chat,167.97834262251854,1
full,False,,,transformers,,false,,,,full,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,em,full/exact transformers smoke,,,session_002,0.0,217.73704141378403,768.0161409080029,14673.157189041376,215.5412659049034,46.291183680295944,1.9857212901115417,770.5682963132858,0.10206550359725952,first_token,batch,27.6171875,,,770.5682963132858,long,True,True,"
Assistant: | Keyword Cluster | Keyword | Search Intent | Title | Meta Description",6907.6884765625,full_gpu,0.0,1.0,,session_002_turn_001,,,8201.5234375,,session_002,calibration,chat,217.73704141378403,1
full,False,,,transformers,,false,,,,full,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,/DATACENTER3/zhenxiang.wang/resource/Qwen2.5-7B-Instruct,em,full/exact transformers smoke,,,session_003,0.0,41.32341966032982,593.4409275650978,14673.157189041376,40.92121869325638,46.291183680295944,0.21442770957946777,594.280619174242,0.08869916200637817,first_token,batch,1.3125,,,594.280619174242,short,True,True, I am trying to understand the difference between StandardScaler and Normalizer in sklearn.,6599.8583984375,full_gpu,0.0,1.0,,session_003_turn_000,,,8201.5234375,,session_003,calibration,chat,41.32341966032982,0
