action_profile,audit_rate,backend_budget_hit,backend_name,budget_hit,candidate_safe_count,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,global_budget_mib,global_resident_kv_mib,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,policy_budget_filtered,pred_loss,quality_loss,queue_delay_ms,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,safe,session_id,task,ttft_ms,turn_index
full_gpu,,False,measured_replay,False,,,,,,,,,,,True,,,,1.9140625,,,644.9744328856468,short,True,True,,False,,15064.69970703125,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_raghot_000050,,,7764.109375,,,,,qa,52.35418677330017,0
full_gpu,,False,measured_replay,False,,,,,,,,,,,True,,,,63.6015625,,,1165.9102886915207,nonshort,True,True,,False,,16844.13916015625,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_longbench_000050,,,7764.109375,,,,,qa,569.2351050674915,0
full_gpu,,False,measured_replay,False,,,,,,,,,,,True,,,,7.0,,,644.4435454905033,short,True,True,,False,,15310.68359375,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_raghot_000051,,,7764.109375,,,,,qa,71.56817242503166,0
full_gpu,,False,measured_replay,False,,,,,,,,,,,True,,,,71.53125,,,1298.4209060668945,nonshort,True,True,,False,,17165.3818359375,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_longbench_000051,,,7764.109375,,,,,qa,713.428970426321,0
full_gpu,,False,measured_replay,False,,,,,,,,,,,True,,,,8.5859375,,,674.9758273363113,short,True,True,,False,,15477.14306640625,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_raghot_000052,,,7764.109375,,,,,qa,89.95812758803368,0
full_gpu,,False,measured_replay,False,,,,,,,,,,,True,,,,65.1328125,,,1191.3602277636528,nonshort,True,True,,False,,17111.82666015625,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_longbench_000052,,,7764.109375,,,,,qa,603.9985455572605,0
full_gpu,,False,measured_replay,False,,,,,,,,,,,True,,,,1.6953125,,,641.1075629293919,short,True,True,,False,,15084.63720703125,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_raghot_000053,,,7764.109375,,,,,qa,44.4314144551754,0
full_gpu,,False,measured_replay,False,,,,,,,,,,,True,,,,71.75,,,1304.4675178825855,nonshort,True,True,,False,,17089.2919921875,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_longbench_000053,,,7764.109375,,,,,qa,717.2344550490379,0
full_gpu,,False,measured_replay,False,,,,,,,,,,,True,,,,7.6015625,,,668.0462136864662,short,True,True,,False,,15363.36376953125,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_raghot_000054,,,7764.109375,,,,,qa,71.53445854783058,0
full_gpu,,False,measured_replay,False,,,,,,,,,,,True,,,,62.8359375,,,1157.350368797779,nonshort,True,True,,False,,16965.6220703125,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_longbench_000054,,,7764.109375,,,,,qa,566.9230073690414,0
