action_profile,active_session_count,audit_rate,backend_budget_hit,backend_name,budget_hit,candidate_safe_count,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,global_budget_mib,global_resident_kv_mib,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,policy_budget_filtered,pred_loss,quality_loss,queue_delay_ms,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,safe,safety_reason,session_id,task,ttft_ms,turn_index
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,1.9140625,,,647.9007788002491,short,True,True,,False,,15064.69970703125,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_raghot_000050,,,7760.984375,,,,,,qa,52.74377763271332,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,63.6015625,,,1183.6412772536278,nonshort,True,True,,False,,16844.13916015625,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_longbench_000050,,,7760.984375,,,,,,qa,571.9166696071625,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,7.0,,,677.5380745530128,short,True,True,,False,,15310.68359375,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_raghot_000051,,,7760.984375,,,,,,qa,71.11398875713348,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,71.53125,,,1317.5929114222527,nonshort,True,True,,False,,17165.3818359375,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_longbench_000051,,,7760.984375,,,,,,qa,713.1429314613342,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,8.5859375,,,695.5258883535862,short,True,True,,False,,15477.14306640625,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_raghot_000052,,,7760.984375,,,,,,qa,90.6810313463211,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,65.1328125,,,1210.363857448101,nonshort,True,True,,False,,17111.82666015625,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_longbench_000052,,,7760.984375,,,,,,qa,604.5313514769077,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,1.6953125,,,796.8496009707451,short,True,True,,False,,15084.63720703125,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_raghot_000053,,,7760.984375,,,,,,qa,50.81187188625336,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,71.75,,,1491.291206330061,nonshort,True,True,,False,,17089.2919921875,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_longbench_000053,,,7760.984375,,,,,,qa,741.7268306016922,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,7.6015625,,,762.4545991420746,short,True,True,,False,,15363.36376953125,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_raghot_000054,,,7760.984375,,,,,,qa,72.3755843937397,0
full_gpu,,,False,measured_replay,False,,,,,,,,,,,True,,,,62.8359375,,,1323.9896968007088,nonshort,True,True,,False,,16965.6220703125,False,full_lru,False,,0.0,,full precision exact profile,,,,,qa_longbench_000054,,,7760.984375,,,,,,qa,567.1388171613216,0
