action_profile,active_session_count,audit_rate,audit_selected,backend_budget_hit,backend_name,budget_hit,candidate_safe_count,config,controller_cg_ms,controller_overhead_ms,controller_qrp_ms,controller_stc_ms,delta,diagnostic_only,drift_state,epsilon,error,evicted_kv_mib,exact,fallback_reason,global_budget_mib,global_resident_kv_mib,kv_cache_memory_mib,kv_cumulative_mib,kv_incremental_mib,latency_ms,length_bucket,measured,observed_quality_loss,ok,optimality_gap,oracle,oracle_cost_ms,peak_memory_mib,placeholder,policy,policy_budget_filtered,pred_loss,predicted_quality_loss,primary_profile,quality_estimate,quality_loss,quality_status,queue_delay_ms,reason,recompute_ms,rejected_pred_loss,rejected_profile,rejected_risk_upper,request_id,resident_kv_mib_after,resident_kv_mib_before,resident_memory_mib,restore_ms,risk_upper,run_dir,safe,safety_reason,session_id,task,ttft_ms,turn_index,violation_status
full_gpu,2.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/configs/baseline_wide_sweep_fourth.yaml,,,,,,False,,,,0.0,True,,15.0,2.078125,1.1484375,1.1484375,1.1484375,1146.2555341422558,short,True,,True,,False,,15045.32470703125,False,full_lru,False,,,full_gpu,,0.0,,0.0,full precision exact profile,0.0,,,,hybrid-session-001-turn-0,1.1484375,0.0,1.1484375,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/baseline_smoke_final_rerun_20260913,,,hybrid-session-001,chat,76.23081910423934,0,
full_gpu,2.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/configs/baseline_wide_sweep_fourth.yaml,,,,,,False,,,,0.0,True,,15.0,6.9453125,4.5390625,4.5390625,3.390625,1186.799474991858,short,True,,True,,False,,15138.64111328125,False,full_lru,False,,,full_gpu,,0.0,,0.0,full precision exact profile,0.0,,,,hybrid-session-001-turn-1,4.5390625,1.1484375,4.5390625,0.0,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/baseline_smoke_final_rerun_20260913,,,hybrid-session-001,chat,93.18889607675374,1,
full_gpu,2.0,0.1,False,True,measured_replay,True,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/configs/baseline_wide_sweep_fourth.yaml,,,,,,False,,,,24.4609375,True,,15.0,15.0,0.0,14.0,9.4609375,1240.238156030327,medium,True,,True,,False,,15404.193359375,False,full_lru,True,,,full_gpu,,0.0,,0.530859375,full precision exact profile,0.0,,,,hybrid-session-001-turn-2,0.0,0.0,0.0,1.588671875,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/baseline_smoke_final_rerun_20260913,,,hybrid-session-001,summary,153.5327021036297,2,
full_gpu,2.0,0.1,False,True,measured_replay,True,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/configs/baseline_wide_sweep_fourth.yaml,,,,,,False,,,,49.2734375,True,,15.0,15.0,0.0,49.2734375,35.2734375,1551.9246065270156,long,True,,True,,False,,16385.28466796875,False,full_lru,True,,,full_gpu,,0.0,,7.391015625,full precision exact profile,0.0,,,,hybrid-session-001-turn-3,0.0,0.0,0.0,6.488671875,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/baseline_smoke_final_rerun_20260913,,,hybrid-session-001,summary,466.58775254413484,3,
full_gpu,2.0,0.1,False,True,measured_replay,True,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/configs/baseline_wide_sweep_fourth.yaml,,,,,,False,,,,84.328125,True,,15.0,15.0,0.0,84.328125,35.0546875,1936.774316771701,long,True,,True,,False,,17364.00732421875,False,full_lru,True,,,full_gpu,,0.0,,12.64921875,full precision exact profile,0.0,,,,hybrid-session-001-turn-4,0.0,0.0,0.0,23.734375,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/baseline_smoke_final_rerun_20260913,,,hybrid-session-001,summary,864.8947238147259,4,
full_gpu,2.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/configs/baseline_wide_sweep_fourth.yaml,,,,,0.1,False,,0.05,,0.0,True,,15.0,2.078125,1.1484375,1.1484375,1.1484375,1146.2555341422558,short,True,,True,,False,,15045.32470703125,True,static_best,False,0.0,0.0,full_gpu,0.0,0.0,,0.0,static_best,0.0,,,,hybrid-session-001-turn-0,1.1484375,0.0,1.1484375,0.0,0.0,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/baseline_smoke_final_rerun_20260913,True,exact fallback,hybrid-session-001,chat,76.23081910423934,0,
full_gpu,2.0,0.1,False,False,measured_replay,False,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/configs/baseline_wide_sweep_fourth.yaml,,,,,0.1,False,,0.05,,0.0,True,,15.0,6.9453125,4.5390625,4.5390625,3.390625,1186.799474991858,short,True,,True,,False,,15138.64111328125,True,static_best,False,0.0,0.0,full_gpu,0.0,0.0,,0.0,static_best,0.0,,,,hybrid-session-001-turn-1,4.5390625,1.1484375,4.5390625,0.0,0.0,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/baseline_smoke_final_rerun_20260913,True,exact fallback,hybrid-session-001,chat,93.18889607675374,1,
full_gpu,2.0,0.1,False,True,measured_replay,True,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/configs/baseline_wide_sweep_fourth.yaml,,,,,0.1,False,,0.05,,24.4609375,True,,15.0,15.0,0.0,14.0,9.4609375,1240.238156030327,medium,True,,True,,False,,15404.193359375,True,static_best,False,0.0,0.0,full_gpu,0.0,0.0,,0.530859375,static_best,0.0,,,,hybrid-session-001-turn-2,0.0,0.0,0.0,1.588671875,0.0,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/baseline_smoke_final_rerun_20260913,True,exact fallback,hybrid-session-001,summary,153.5327021036297,2,
full_gpu,2.0,0.1,False,True,measured_replay,True,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/configs/baseline_wide_sweep_fourth.yaml,,,,,0.1,False,,0.05,,49.2734375,True,,15.0,15.0,0.0,49.2734375,35.2734375,1551.9246065270156,long,True,,True,,False,,16385.28466796875,True,static_best,False,0.0,0.0,full_gpu,0.0,0.0,,7.391015625,static_best,0.0,,,,hybrid-session-001-turn-3,0.0,0.0,0.0,6.488671875,0.0,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/baseline_smoke_final_rerun_20260913,True,exact fallback,hybrid-session-001,summary,466.58775254413484,3,
full_gpu,2.0,0.1,False,True,measured_replay,True,,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/configs/baseline_wide_sweep_fourth.yaml,,,,,0.1,False,,0.05,,84.328125,True,,15.0,15.0,0.0,84.328125,35.0546875,1936.774316771701,long,True,,True,,False,,17364.00732421875,True,static_best,False,0.0,0.0,full_gpu,0.0,0.0,,12.64921875,static_best,0.0,,,,hybrid-session-001-turn-4,0.0,0.0,0.0,23.734375,0.0,/DATACENTER3/zhenxiang.wang/work/TailGuardKV/.worktrees/baseline-smoke-final-aggregation/out/baseline_smoke_final_rerun_20260913,True,exact fallback,hybrid-session-001,summary,864.8947238147259,4,
